local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_bluetooth_rapids_countscans,phone_bluetooth_rapids_uniquedevices,phone_bluetooth_rapids_countscansmostuniquedevice,phone_bluetooth_doryab_countscansall,phone_bluetooth_doryab_uniquedevicesall,phone_bluetooth_doryab_meanscansall,phone_bluetooth_doryab_stdscansall,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsall,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetall,phone_bluetooth_doryab_countscansown,phone_bluetooth_doryab_uniquedevicesown,phone_bluetooth_doryab_meanscansown,phone_bluetooth_doryab_stdscansown,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsown,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetown,phone_bluetooth_doryab_countscansothers,phone_bluetooth_doryab_uniquedevicesothers,phone_bluetooth_doryab_meanscansothers,phone_bluetooth_doryab_stdscansothers,phone_bluetooth_doryab_countscansmostfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansmostfrequentdeviceacrossdatasetothers,phone_bluetooth_doryab_countscansleastfrequentdevicewithinsegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrosssegmentsothers,phone_bluetooth_doryab_countscansleastfrequentdeviceacrossdatasetothers,phone_calls_rapids_missed_count,phone_calls_rapids_missed_distinctcontacts,phone_calls_rapids_missed_timefirstcall,phone_calls_rapids_missed_timelastcall,phone_calls_rapids_missed_countmostfrequentcontact,phone_calls_rapids_incoming_count,phone_calls_rapids_incoming_distinctcontacts,phone_calls_rapids_incoming_meanduration,phone_calls_rapids_incoming_sumduration,phone_calls_rapids_incoming_minduration,phone_calls_rapids_incoming_maxduration,phone_calls_rapids_incoming_stdduration,phone_calls_rapids_incoming_modeduration,phone_calls_rapids_incoming_entropyduration,phone_calls_rapids_incoming_timefirstcall,phone_calls_rapids_incoming_timelastcall,phone_calls_rapids_incoming_countmostfrequentcontact,phone_calls_rapids_outgoing_count,phone_calls_rapids_outgoing_distinctcontacts,phone_calls_rapids_outgoing_meanduration,phone_calls_rapids_outgoing_sumduration,phone_calls_rapids_outgoing_minduration,phone_calls_rapids_outgoing_maxduration,phone_calls_rapids_outgoing_stdduration,phone_calls_rapids_outgoing_modeduration,phone_calls_rapids_outgoing_entropyduration,phone_calls_rapids_outgoing_timefirstcall,phone_calls_rapids_outgoing_timelastcall,phone_calls_rapids_outgoing_countmostfrequentcontact,phone_data_yield_rapids_ratiovalidyieldedminutes,phone_data_yield_rapids_ratiovalidyieldedhours,phone_locations_doryab_minlengthstayatclusters,phone_locations_doryab_radiusgyration,phone_locations_doryab_timeattop1location,phone_locations_doryab_timeathome,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_totaldistance,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_timeattop2location,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_loglocationvariance,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_locationvariance,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_avgspeed,phone_locations_doryab_locationentropy,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_varspeed,phone_locations_doryab_normalizedlocationentropy,phone_locations_doryab_timeattop3location,phone_locations_barnett_hometime,phone_locations_barnett_disttravelled,phone_locations_barnett_rog,phone_locations_barnett_maxdiam,phone_locations_barnett_maxhomedist,phone_locations_barnett_siglocsvisited,phone_locations_barnett_avgflightlen,phone_locations_barnett_stdflightlen,phone_locations_barnett_avgflightdur,phone_locations_barnett_stdflightdur,phone_locations_barnett_probpause,phone_locations_barnett_siglocentropy,phone_locations_barnett_circdnrtn,phone_locations_barnett_wkenddayrtn,phone_screen_rapids_countepisodeunlock,phone_screen_rapids_sumdurationunlock,phone_screen_rapids_maxdurationunlock,phone_screen_rapids_mindurationunlock,phone_screen_rapids_avgdurationunlock,phone_screen_rapids_stddurationunlock,phone_screen_rapids_firstuseafter00unlock,phone_wifi_visible_rapids_countscans,phone_wifi_visible_rapids_uniquedevices,phone_wifi_visible_rapids_countscansmostuniquedevice,phone_screen_rapids_countepisodeunlock_locmap_home,phone_screen_rapids_countepisodeunlock_locmap_study,phone_screen_rapids_countepisodeunlock_locmap_living,phone_screen_rapids_countepisodeunlock_locmap_exercise,phone_screen_rapids_countepisodeunlock_locmap_greens,phone_screen_rapids_sumdurationunlock_locmap_home,phone_screen_rapids_sumdurationunlock_locmap_study,phone_screen_rapids_sumdurationunlock_locmap_living,phone_screen_rapids_sumdurationunlock_locmap_exercise,phone_screen_rapids_sumdurationunlock_locmap_greens,phone_screen_rapids_avgdurationunlock_locmap_home,phone_screen_rapids_avgdurationunlock_locmap_study,phone_screen_rapids_avgdurationunlock_locmap_living,phone_screen_rapids_avgdurationunlock_locmap_exercise,phone_screen_rapids_avgdurationunlock_locmap_greens
"afternoon#2025-11-03 12:00:00,2025-11-03 17:00:00",afternoon,2025-11-03 12:00:00,2025-11-03 17:00:00,928,489,0,928,489,1.89775051124744,3.0531116637081,49,0,0,1,1,1,0,0,0,,0,0,0,0,0,0,928,489,1.89775051124744,3.0531116637081,49,49,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226654087364818,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2763,76,,,,,,,,,,,,,,,,
"afternoon#2025-11-04 12:00:00,2025-11-04 17:00:00",afternoon,2025-11-04 12:00:00,2025-11-04 17:00:00,557,330,0,557,330,1.68787878787879,2.68557528952716,36,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,557,330,1.68787878787879,2.68557528952716,36,36,0,1,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,984.0,984.0,1.0,0.343314279390827,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,19.4434833333333,14.9694,0.0233,1.94434833333333,4.60605314545905,748.55,2964,732,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,19.4434833333333,0.0,,,,1.94434833333333,
"afternoon#2025-11-05 12:00:00,2025-11-05 17:00:00",afternoon,2025-11-05 12:00:00,2025-11-05 17:00:00,680,416,0,680,416,1.63461538461538,2.17458570404679,26,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,680,416,1.63461538461538,2.17458570404679,26,22,0,1,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,119.999,119.999,119.999,119.999,,119.999,0.0,1006.0,1006.0,0.0,0.38331205951403,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,38.7382333333333,33.2959,0.2356,4.30424814814815,10.8833345212112,734.65,4969,550,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,38.7382333333333,0.0,,,,4.304248148148144,
"afternoon#2025-11-06 12:00:00,2025-11-06 17:00:00",afternoon,2025-11-06 12:00:00,2025-11-06 17:00:00,759,401,25,759,401,1.8927680798005,3.19467878957784,42,25,25,1,0,0,25,1,25,,25,25,25,25,25,0,734,400,1.835,2.98161030317512,42,42,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353313724421628,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,30.0292166666667,4.92326666666667,0.0963833333333333,2.00194777777778,1.50533213621186,737.066666666667,4582,565,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0292166666667,0.0,,,,2.00194777777778,
"afternoon#2025-11-07 12:00:00,2025-11-07 17:00:00",afternoon,2025-11-07 12:00:00,2025-11-07 17:00:00,469,279,0,469,279,1.68100358422939,2.36172211813678,28,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,469,279,1.68100358422939,2.36172211813678,28,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386645207857631,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,24.2753166666667,8.44378333333333,0.105283333333333,1.42795980392157,2.10005821390096,720.0,5386,459,,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,24.2753166666667,0.0,,,,1.4279598039215706,
"afternoon#2025-11-08 12:00:00,2025-11-08 17:00:00",afternoon,2025-11-08 12:00:00,2025-11-08 17:00:00,160,33,115,160,33,4.84848484848485,19.8370253757355,115,115,115,1,0,0,115,1,115,,115,115,115,115,115,0,45,32,1.40625,1.6036123536083,10,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353313724421628,0.199988900616016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,127.922266666667,34.8505166666667,0.539066666666667,7.99514166666667,9.90974965084797,725.15,2346,518,,1.4545454545454546,0.0,0.0,14.545454545454545,0.0,11.629296969697,0.0,0.0,116.29296969696999,0.0,7.9951416666666875,,,7.9951416666666875,
"afternoon#2025-11-09 12:00:00,2025-11-09 17:00:00",afternoon,2025-11-09 12:00:00,2025-11-09 17:00:00,100,15,75,100,15,6.66666666666667,18.9874645364727,75,75,75,1,0,0,75,1,75,,75,75,75,75,75,0,25,14,1.78571428571429,1.84718377864465,8,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329981686016426,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,133.090166666667,28.575,0.321233333333333,11.0908472222222,9.41041109323758,721.733333333333,353,24,,,,,,,,,,,,,,,,
"allday#2025-11-03 00:00:00,2025-11-04 00:00:00",allday,2025-11-03 00:00:00,2025-11-04 00:00:00,1835,956,70,1835,956,1.91945606694561,4.17331313599305,77,70,70,1,0,1,70,1,70,,70,70,70,70,70,0,1765,955,1.84816753926702,3.54559760292088,77,52,0,1,0,1,4.0,3.0,619.0,1302.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,34.0,34.0,34.0,34.0,,34.0,0.0,1055.0,1055.0,1.0,0.262496964878844,0.0416661849014037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,145.675366666667,73.8802666666666,0.0274166666666667,5.60289871794872,14.9494928823109,474.516666666667,9404,1233,,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,145.675366666667,0.0,,,,5.602898717948731,
"allday#2025-11-04 00:00:00,2025-11-05 00:00:00",allday,2025-11-04 00:00:00,2025-11-05 00:00:00,1610,978,2,1610,978,1.64621676891616,3.26602669941235,79,2,2,1,1,0,2,1,2,,2,2,2,2,2,0,1608,977,1.64585465711361,3.26767979790565,79,79,0,1,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,984.0,984.0,1.0,0.307635331855364,0.0833323698028075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,145.454083333333,48.5058666666666,0.0233,3.38265310077519,8.29017875985079,405.233333333333,8184,1656,,1.653846153846154,0.0,0.0,41.34615384615385,0.0,5.594387820512807,0.0,0.0,139.8596955128202,0.0,3.3826531007751854,,,3.382653100775186,
"allday#2025-11-04 00:00:00,2025-11-05 00:00:00",allday,2025-11-04 00:00:00,2025-11-05 00:00:00,1610,978,2,1610,978,1.64621676891616,3.26602669941235,79,2,2,1,1,0,2,1,2,,2,2,2,2,2,0,1608,977,1.64585465711361,3.26767979790565,79,79,0,1,0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,984.0,984.0,1.0,0.307635331855364,0.0833323698028075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,145.454083333333,48.5058666666666,0.0233,3.38265310077519,8.29017875985079,405.233333333333,596,198,,1.653846153846154,0.0,0.0,41.34615384615385,0.0,5.594387820512807,0.0,0.0,139.8596955128202,0.0,3.3826531007751854,,,3.382653100775186,
"allday#2025-11-05 00:00:00,2025-11-06 00:00:00",allday,2025-11-05 00:00:00,2025-11-06 00:00:00,1671,889,129,1671,889,1.87964004499438,5.2644183696955,129,129,129,1,1,0,129,1,129,,129,129,129,129,129,0,1542,888,1.73648648648649,3.08327448557025,54,52,0,1,1,0,1.0,1.0,644.0,644.0,1.0,2.0,2.0,454.5,909.0,139.0,770.0,446.184378928712,770.0,0.428282857502102,1024.0,1077.0,1.0,2.0,2.0,60.9995,121.999,2.0,119.999,83.4378930732314,119.999,0.0877486490309071,1006.0,1020.0,0.0,0.301385404120154,0.0416661849014037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,287.303566666667,86.9337666666666,0.0696833333333333,10.6408728395062,20.2877013752475,457.383333333333,7913,570,,2.7,0.0,0.0,24.3,0.0,28.7303566666667,0.0,0.0,258.5732100000003,0.0,10.640872839506185,,,10.640872839506185,
"allday#2025-11-05 00:00:00,2025-11-06 00:00:00",allday,2025-11-05 00:00:00,2025-11-06 00:00:00,1671,889,129,1671,889,1.87964004499438,5.2644183696955,129,129,129,1,1,0,129,1,129,,129,129,129,129,129,0,1542,888,1.73648648648649,3.08327448557025,54,52,0,1,1,0,1.0,1.0,644.0,644.0,1.0,2.0,2.0,454.5,909.0,139.0,770.0,446.184378928712,770.0,0.428282857502102,1024.0,1077.0,1.0,2.0,2.0,60.9995,121.999,2.0,119.999,83.4378930732314,119.999,0.0877486490309071,1006.0,1020.0,0.0,0.301385404120154,0.0416661849014037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,287.303566666667,86.9337666666666,0.0696833333333333,10.6408728395062,20.2877013752475,457.383333333333,1816,291,,2.7,0.0,0.0,24.3,0.0,28.7303566666667,0.0,0.0,258.5732100000003,0.0,10.640872839506185,,,10.640872839506185,
"allday#2025-11-06 00:00:00,2025-11-07 00:00:00",allday,2025-11-06 00:00:00,2025-11-07 00:00:00,1663,850,98,1663,850,1.95647058823529,5.09155163103561,98,98,98,1,0,0,98,1,98,,98,98,98,98,98,0,1565,849,1.84334511189635,3.88122064596839,77,77,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336107224871324,0.166664739605615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,222.130516666667,97.5513166666666,0.0963833333333333,8.2270561728395,21.8914740785386,454.833333333333,8210,573,,0.0,1.2272727272727273,0.0,25.772727272727273,0.0,0.0,10.096841666666682,0.0,212.03367500000033,0.0,,8.227056172839518,,8.227056172839518,
"allday#2025-11-06 00:00:00,2025-11-07 00:00:00",allday,2025-11-06 00:00:00,2025-11-07 00:00:00,1663,850,98,1663,850,1.95647058823529,5.09155163103561,98,98,98,1,0,0,98,1,98,,98,98,98,98,98,0,1565,849,1.84334511189635,3.88122064596839,77,77,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336107224871324,0.166664739605615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,222.130516666667,97.5513166666666,0.0963833333333333,8.2270561728395,21.8914740785386,454.833333333333,2087,297,,0.0,1.2272727272727273,0.0,25.772727272727273,0.0,0.0,10.096841666666682,0.0,212.03367500000033,0.0,,8.227056172839518,,8.227056172839518,
"allday#2025-11-07 00:00:00,2025-11-08 00:00:00",allday,2025-11-07 00:00:00,2025-11-08 00:00:00,1187,586,130,1187,586,2.02559726962457,6.08298959913397,130,130,130,1,0,0,130,1,130,,130,130,130,130,130,0,1057,585,1.80683760683761,2.99576546166802,48,48,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328468424306066,0.124998554704211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,246.456033333333,93.16165,0.0310833333333333,6.66097387387387,16.3611901909985,448.816666666667,9036,490,,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,246.456033333333,0.0,,,,6.660973873873865,
"allday#2025-11-07 00:00:00,2025-11-08 00:00:00",allday,2025-11-07 00:00:00,2025-11-08 00:00:00,1187,586,130,1187,586,2.02559726962457,6.08298959913397,130,130,130,1,0,0,130,1,130,,130,130,130,130,130,0,1057,585,1.80683760683761,2.99576546166802,48,48,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328468424306066,0.124998554704211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,246.456033333333,93.16165,0.0310833333333333,6.66097387387387,16.3611901909985,448.816666666667,1790,358,,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,246.456033333333,0.0,,,,6.660973873873865,
"allday#2025-11-08 00:00:00,2025-11-09 00:00:00",allday,2025-11-08 00:00:00,2025-11-09 00:00:00,815,390,219,815,390,2.08974358974359,11.4761246486817,219,219,219,1,0,0,219,1,219,,219,219,219,219,219,0,596,389,1.53213367609255,3.23513584581042,55,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324996242230949,0.124998554704211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,445.226766666667,109.0326,0.0473666666666667,8.09503212121212,17.4497771334232,469.2,15238,3060,,4.230769230769231,0.0,0.0,50.769230769230774,0.0,34.24821282051285,0.0,0.0,410.97855384615417,0.0,8.095032121212128,,,8.095032121212126,
"allday#2025-11-08 00:00:00,2025-11-09 00:00:00",allday,2025-11-08 00:00:00,2025-11-09 00:00:00,815,390,219,815,390,2.08974358974359,11.4761246486817,219,219,219,1,0,0,219,1,219,,219,219,219,219,219,0,596,389,1.53213367609255,3.23513584581042,55,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324996242230949,0.124998554704211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,445.226766666667,109.0326,0.0473666666666667,8.09503212121212,17.4497771334232,469.2,964,312,,4.230769230769231,0.0,0.0,50.769230769230774,0.0,34.24821282051285,0.0,0.0,410.97855384615417,0.0,8.095032121212128,,,8.095032121212126,
